actStTime,actEndTime,actCategory,placeOrRoute,authorities
活動開始時間,活動結束時間,活動類別,集會處所或遊行路線,主管機關
2016/12/14 09:00,2016/12/14 22:00,室外集會,臺北市中正區濟南路1段【中山南路（不含）至臺大校友會館停車場出入口（不含）】南側人行道暨緊鄰1線車道（需避開教育部及臺大校友會館出入口）。,臺北市政府警察局中正第一分局
2016/12/13 09:00,2016/12/13 22:00,室外集會,臺北市中正區濟南路1段【中山南路（不含）至臺大校友會館停車場出入口（不含）】南側人行道暨緊鄰1線車道（需避開教育部及臺大校友會館出入口）。,臺北市政府警察局中正第一分局
2016/12/12 14:00,2016/12/12 17:00,遊行,彰化縣和美鎮彰化市、員林鎮、北斗鎮等主要街道,彰化縣警察局
2016/12/12 09:00,2016/12/12 22:00,室外集會,臺北市中正區濟南路1段【中山南路（不含）至臺大校友會館停車場出入口（不含）】南側人行道暨緊鄰1線車道（需避開教育部及臺大校友會館出入口）。,臺北市政府警察局中正第一分局
2016/12/11 09:00,2016/12/11 22:00,室外集會,臺北市中正區濟南路1段【中山南路（不含）至臺大校友會館停車場出入口（不含）】南側人行道暨緊鄰1線車道（需避開教育部及臺大校友會館出入口）。,臺北市政府警察局中正第一分局
2016/12/10 15:00,2016/12/10 18:00,室外集會,臺南市南區夏林路1-4號對面〈永華路轉夏林路停車格位012-014間人行道,臺南市政府警察局第六分局
2016/12/10 11:00,2016/12/10 18:00,遊行,臺南市安平區永華市政中心前南搈大道集合，解散地點:臺南市客家文化會館前，遊行路線:安平區、中西區、南區道路,臺南市政府警察局
2016/12/10 09:00,2016/12/10 22:00,室外集會,臺北市中正區濟南路1段【中山南路（不含）至臺大校友會館停車場出入口（不含）】南側人行道暨緊鄰1線車道（需避開教育部及臺大校友會館出入口）。,臺北市政府警察局中正第一分局
2016/12/08 09:00,2016/12/08 22:00,室外集會,臺北市中正區濟南路1段【中山南路（不含）至立法院郵局大門（不含）】北側人行道暨緊鄰1線車道。（需避開濟南教會出入口）。,臺北市政府警察局中正第一分局
2016/12/07 09:00,2016/12/07 22:00,室外集會,臺北市中正區濟南路1段【中山南路（不含）至立法院郵局大門（不含）】北側人行道暨緊鄰1線車道。（需避開濟南教會出入口）。,臺北市政府警察局中正第一分局
2016/12/06 09:00,2016/12/06 22:00,室外集會,臺北市中正區濟南路1段【中山南路（不含）至立法院郵局大門（不含）】北側人行道暨緊鄰1線車道。（需避開濟南教會出入口）。,臺北市政府警察局中正第一分局
2016/12/05 09:00,2016/12/05 22:00,室外集會,臺北市中正區濟南路1段【中山南路（不含）至立法院郵局大門（不含）】北側人行道暨緊鄰1線車道。（需避開濟南教會出入口）。,臺北市政府警察局中正第一分局
2016/12/04 09:00,2016/12/04 22:00,室外集會,臺北市中正區濟南路1段【中山南路（不含）至立法院郵局大門（不含）】北側人行道暨緊鄰1線車道。（需避開濟南教會出入口）。,臺北市政府警察局中正第一分局
2016/12/04 08:00,2016/12/04 17:00,室外集會,嘉義縣布袋鎮樹林頭樹林小段240地號產業道路,嘉義縣警察局布袋分局
2016/12/03 09:00,2016/12/03 22:00,室外集會,臺北市中正區濟南路1段【中山南路（不含）至立法院郵局大門（不含）】北側人行道暨緊鄰1線車道。（需避開濟南教會出入口）。,臺北市政府警察局中正第一分局
2016/12/03 08:00,2016/12/03 17:00,室外集會,嘉義縣布袋鎮樹林頭樹林小段240地號產業道路,嘉義縣警察局布袋分局
2016/12/03 08:00,2016/12/03 17:30,室外集會,臺北市士林區至善路2段故宮博物院前U型車道沿邊,臺北市政府警察局士林分局
2016/12/02 13:00,2016/12/02 20:00,室外集會,臺北市中正區青島西路【公園路（不含）至中山南路（不含）】北側1線車道暨人行道,臺北市政府警察局中正第一分局
2016/12/02 09:00,2016/12/02 22:00,室外集會,臺北市中正區濟南路1段【中山南路（不含）至立法院郵局大門（不含）】北側人行道暨緊鄰1線車道。（需避開濟南教會出入口）。,臺北市政府警察局中正第一分局
2016/12/02 08:00,2016/12/02 17:00,室外集會,嘉義縣布袋鎮樹林頭樹林小段240地號產業道路,嘉義縣警察局布袋分局
2016/12/02 08:00,2016/12/02 17:30,室外集會,臺北市士林區至善路2段故宮博物院前U型車道沿邊,臺北市政府警察局士林分局
2016/12/01 16:00,2016/12/01 17:00,室外集會,臺南市南區臺南市黨部前〈中華西路1段137巷95號至113號間〉,臺南市政府警察局第六分局
2016/12/01 09:00,2016/12/01 22:00,室外集會,臺北市中正區濟南路1段【中山南路（不含）至立法院郵局大門（不含）】北側人行道暨緊鄰1線車道。（需避開濟南教會出入口）。,臺北市政府警察局中正第一分局
2016/12/01 08:00,2016/12/01 17:00,室外集會,嘉義縣布袋鎮樹林頭樹林小段240地號產業道路,嘉義縣警察局布袋分局
2016/12/01 08:00,2016/12/01 17:30,室外集會,臺北市士林區至善路2段故宮博物院前U型車道沿邊,臺北市政府警察局士林分局
2016/11/30 09:00,2016/11/30 17:00,室外集會,臺北市中正區中山南路【青島東路（不含）至濟南路（不含）間】東側1線慢車道暨人行道,臺北市政府警察局中正第一分局
2016/11/30 09:00,2016/11/30 22:00,室外集會,臺北市中正區濟南路1段【中山南路（不含）至立法院郵局大門（不含）】北側人行道暨緊鄰1線車道。（需避開濟南教會出入口）。,臺北市政府警察局中正第一分局
2016/11/30 08:00,2016/11/30 22:00,室外集會,臺北市中山區八德路2段232號前,臺北市政府警察局中山分局
2016/11/30 08:00,2016/11/30 17:00,室外集會,嘉義縣布袋鎮樹林頭樹林小段240地號產業道路,嘉義縣警察局布袋分局
2016/11/30 08:00,2016/11/30 17:30,室外集會,臺北市士林區至善路2段故宮博物院前U型車道沿邊,臺北市政府警察局士林分局
2016/11/30 08:00,2016/11/30 22:00,室外集會,臺北市中正區中山南路【忠孝東路1段（不含）至青島東路（不含）間】東側1線慢車道暨人行道及青島東路【中山南路（不含）至林森南路（不含）】北側1線車道暨人行道,臺北市政府警察局中正第一分局
2016/11/29 18:00,2016/11/29 20:30,室外集會,彰化縣溪湖鎮溪湖鎮果菜市場第三交易場內,彰化縣警察局溪湖分局
2016/11/29 09:00,2016/11/29 17:00,室外集會,臺北市中正區中山南路【青島東路（不含）至濟南路（不含）間】東側1線慢車道暨人行道,臺北市政府警察局中正第一分局
2016/11/29 09:00,2016/11/29 22:00,室外集會,臺北市中正區濟南路1段【中山南路（不含）至立法院郵局大門（不含）】北側人行道暨緊鄰1線車道。（需避開濟南教會出入口）。,臺北市政府警察局中正第一分局
2016/11/29 08:30,2016/11/29 12:00,室外集會,苗栗縣泰安鄉大安道路0.01公里處與砂石車專用道口(士林壩路口),苗栗縣警察局大湖分局
2016/11/29 08:00,2016/11/29 22:00,室外集會,臺北市中山區八德路2段232號前,臺北市政府警察局中山分局
2016/11/29 08:00,2016/11/29 17:00,室外集會,嘉義縣布袋鎮樹林頭樹林小段240地號產業道路,嘉義縣警察局布袋分局
2016/11/29 08:00,2016/11/29 17:30,室外集會,臺北市士林區至善路2段故宮博物院前U型車道沿邊,臺北市政府警察局士林分局
2016/11/29 08:00,2016/11/29 22:00,室外集會,臺北市中正區中山南路【忠孝東路1段（不含）至青島東路（不含）間】東側1線慢車道暨人行道及青島東路【中山南路（不含）至林森南路（不含）】北側1線車道暨人行道,臺北市政府警察局中正第一分局
2016/11/29 07:00,2016/11/29 23:30,室外集會,臺北市萬華區漢中街116號前道路及成都路北側人行道,臺北市政府警察局萬華分局
2016/11/29 07:00,2016/11/29 21:00,室外集會,臺北市信義區忠孝東路4段與逸仙路口(國父紀念館側人行道),臺北市政府警察局信義分局
2016/11/28 12:00,2016/11/28 18:00,室外集會,臺北市中正區杭州南路1段【忠孝東路1段（不含）至杭州南路1段6巷（不含）間】西側1線車道暨人行道,臺北市政府警察局中正第一分局
2016/11/28 09:00,2016/11/28 17:00,室外集會,臺北市中正區中山南路【青島東路（不含）至濟南路（不含）間】東側1線慢車道暨人行道,臺北市政府警察局中正第一分局
2016/11/28 09:00,2016/11/28 22:00,室外集會,臺北市中正區濟南路1段【中山南路（不含）至立法院郵局大門（不含）】北側人行道暨緊鄰1線車道。（需避開濟南教會出入口）。,臺北市政府警察局中正第一分局
2016/11/28 08:00,2016/11/28 17:00,室外集會,嘉義縣布袋鎮樹林頭樹林小段240地號產業道路,嘉義縣警察局布袋分局
2016/11/28 08:00,2016/11/28 17:30,室外集會,臺北市士林區至善路2段故宮博物院前U型車道沿邊,臺北市政府警察局士林分局
2016/11/28 07:00,2016/11/28 21:00,室外集會,臺北市信義區忠孝東路4段與逸仙路口(國父紀念館側人行道),臺北市政府警察局信義分局
2016/11/28 07:00,2016/11/28 23:30,室外集會,臺北市萬華區漢中街116號前道路及成都路北側人行道【漢中街(不含)至中華路1段(不含)間】,臺北市政府警察局萬華分局
2016/11/28 06:00,2016/11/28 20:00,室外集會,臺北市中正區青島東路【中山南路（不含）至鎮江街（不含）】南側1線車道暨人行道,臺北市政府警察局中正第一分局
2016/11/27 14:00,2016/11/27 18:00,室外集會,嘉義縣朴子市文明路1-11號前,嘉義縣警察局朴子分局
2016/11/27 13:00,2016/11/27 17:00,遊行,臺中市西區草悟道廣場,臺中市政府警察局第一分局
2016/11/27 12:00,2016/11/27 16:00,室外集會,臺南市安平區永華市政中心西拉雅廣場,臺南市政府警察局第四分局
2016/11/27 12:00,2016/11/27 17:00,室外集會,臺北市中正區北平東路【北平東路30號至北平東路30-2號間】道路暨人行道,臺北市政府警察局中正第一分局
2016/11/27 09:00,2016/11/27 12:00,室外集會,彰化縣鹿港鎮中正路155號前道路,彰化縣警察局鹿港分局
2016/11/27 09:00,2016/11/27 17:00,室外集會,臺北市中正區中山南路【青島東路（不含）至濟南路（不含）間】東側1線慢車道暨人行道,臺北市政府警察局中正第一分局
2016/11/27 09:00,2016/11/27 22:00,室外集會,臺北市中正區濟南路1段【中山南路（不含）至立法院郵局大門（不含）】北側人行道暨緊鄰1線車道。（需避開濟南教會出入口）。,臺北市政府警察局中正第一分局
2016/11/27 08:00,2016/11/27 12:00,室外集會,嘉義縣太保市舊埤里5鄰56號,嘉義縣警察局水上分局
2016/11/27 08:00,2016/11/27 12:00,室外集會,嘉義縣太保市舊埤里18鄰新安四街35號,嘉義縣警察局水上分局
2016/11/27 08:00,2016/11/27 17:00,室外集會,嘉義縣布袋鎮樹林頭樹林小段240地號產業道路,嘉義縣警察局布袋分局
2016/11/27 08:00,2016/11/27 17:00,室外集會,臺北市士林區至善路2段故宮博物院前U型車道沿邊,臺北市政府警察局士林分局
2016/11/27 07:00,2016/11/27 23:30,室外集會,臺北市萬華區漢中街116號前道路及成都路北側人行道,臺北市政府警察局萬華分局
2016/11/27 07:00,2016/11/27 21:00,室外集會,臺北市信義區忠孝東路4段與逸仙路口(國父紀念館側人行道),臺北市政府警察局信義分局
2016/11/26 11:00,2016/11/26 18:00,遊行,高雄市前鎮區前鎮、苓雅及新興區部分街道,高雄市政府警察局
2016/11/26 09:00,2016/11/26 17:00,室外集會,臺北市中正區國家表演藝術中心兩廳院藝文廣場,臺北市政府警察局中正第一分局
2016/11/26 09:00,2016/11/26 17:00,室外集會,臺北市中正區中山南路【青島東路（不含）至濟南路（不含）間】東側1線慢車道暨人行道,臺北市政府警察局中正第一分局
2016/11/26 09:00,2016/11/26 20:00,室外集會,臺北市中正區凱達格蘭大道【公園路（不含）至中山南路（不含）】北側人行道暨緊鄰5線車道,臺北市政府警察局中正第一分局
2016/11/26 09:00,2016/11/26 22:00,室外集會,臺北市中正區濟南路1段【中山南路（不含）至立法院郵局大門（不含）】北側人行道暨緊鄰1線車道。（需避開濟南教會出入口）。,臺北市政府警察局中正第一分局
2016/11/26 08:00,2016/11/26 17:00,室外集會,嘉義縣布袋鎮樹林頭樹林小段240地號產業道路,嘉義縣警察局布袋分局
2016/11/26 08:00,2016/11/26 17:00,室外集會,臺北市士林區至善路2段故宮博物院前U型車道沿邊,臺北市政府警察局士林分局
2016/11/26 07:00,2016/11/26 23:30,室外集會,臺北市萬華區漢中街116號前道路及成都路北側人行道,臺北市政府警察局萬華分局
2016/11/25 09:00,2016/11/25 17:00,室外集會,臺北市中正區中山南路【青島東路（不含）至濟南路（不含）間】東側1線慢車道暨人行道,臺北市政府警察局中正第一分局
2016/11/25 09:00,2016/11/25 22:00,室外集會,臺北市中正區濟南路1段【中山南路（不含）至立法院郵局大門（不含）】北側人行道暨緊鄰1線車道。（需避開濟南教會出入口）。,臺北市政府警察局中正第一分局
2016/11/25 08:00,2016/11/25 17:00,室外集會,嘉義縣布袋鎮樹林頭樹林小段240地號產業道路,嘉義縣警察局布袋分局
2016/11/25 08:00,2016/11/25 17:30,室外集會,臺北市士林區至善路2段故宮博物院前U型車道沿邊,臺北市政府警察局士林分局
2016/11/25 07:00,2016/11/25 21:00,室外集會,臺北市信義區忠孝東路4段與逸仙路口(國父紀念館側人行道),臺北市政府警察局信義分局
2016/11/24 09:00,2016/11/24 23:50,室外集會,臺北市中正區中山南路【青島東路（不含）至濟南路（不含）間】東側1線慢車道暨人行道,臺北市政府警察局中正第一分局
2016/11/24 09:00,2016/11/24 22:00,室外集會,臺北市中正區濟南路1段【中山南路（不含）至立法院郵局大門（不含）】北側人行道暨緊鄰1線車道。（需避開濟南教會出入口）。,臺北市政府警察局中正第一分局
2016/11/24 08:00,2016/11/24 17:00,室外集會,嘉義縣布袋鎮樹林頭樹林小段240地號產業道路,嘉義縣警察局布袋分局
2016/11/24 08:00,2016/11/24 17:00,室外集會,臺北市士林區至善路2段故宮博物院前U型車道沿邊,臺北市政府警察局士林分局
2016/11/24 07:00,2016/11/24 23:30,室外集會,臺北市萬華區漢中街116號前道路及成都路北側人行道,臺北市政府警察局萬華分局
2016/11/24 07:00,2016/11/24 21:00,室外集會,臺北市信義區忠孝東路4段與逸仙路口(國父紀念館側人行道),臺北市政府警察局信義分局
2016/11/23 09:00,2016/11/23 17:00,室外集會,臺北市中正區中山南路【青島東路（不含）至濟南路（不含）間】東側1線慢車道暨人行道,臺北市政府警察局中正第一分局
2016/11/23 09:00,2016/11/23 22:00,室外集會,臺北市中正區濟南路1段【中山南路（不含）至立法院郵局大門（不含）】北側人行道暨緊鄰1線車道。（需避開濟南教會出入口）。,臺北市政府警察局中正第一分局
2016/11/23 08:00,2016/11/23 22:00,室外集會,臺北市中山區八德路2段232號前,臺北市政府警察局中山分局
2016/11/23 08:00,2016/11/23 17:00,室外集會,嘉義縣布袋鎮樹林頭樹林小段240地號產業道路,嘉義縣警察局布袋分局
2016/11/23 08:00,2016/11/23 17:00,室外集會,臺北市士林區至善路2段故宮博物院前U型車道沿邊,臺北市政府警察局士林分局
2016/11/23 07:00,2016/11/23 23:30,室外集會,臺北市萬華區漢中街116號前道路及成都路北側人行道,臺北市政府警察局萬華分局
